,i_1C (A),rp_neg (m),Eeq_side (V),kappa_film (S/m),epsl_neg,Dl_elect (m^2/s),Ds_neg (m^2/s),i0ref_neg (A/m^2),E_min (V),i0_SEI (A/m^2),csmax_neg(mol/m^3),cl_0(mol/m^3),t_plus,i0ref_metal (A/m^2),sigma_neg,SEI_thickness(m),Capacity loss (%)
1102,1.12391761,5.47605e-06,0.328308237,0.000204359,0.308505892,6.94247e-10,5.29e-14,3.30435874,0.031096446,2.86294e-07,32182.29457,1020.655553,0.428067593,80.25329162,94.36966448,2.84897e-10,0.564867262
1103,0.533269377,4.30805e-06,0.266115937,0.000208892,0.285536394,4.96411e-10,3.07e-14,1.742925824,0.097133698,8.75668e-07,32013.73327,1189.670867,0.409615766,70.25877682,72.40129619,1.15584e-10,0.946507538
1104,2.186646007,1.63887e-06,0.025524851,2.27332e-05,0.254867325,5.55075e-10,8.47e-14,0.833991578,0.02403617,3.0505e-07,31741.60498,1129.162465,0.315780451,80.82683657,61.0735067,2.90265e-13,0.432300578
1105,4.730114018,7.46172e-06,0.247609856,0.000174203,0.24154524,2.06854e-10,8.22e-14,3.041769219,0.013635115,6.03091e-07,30563.92779,1066.327734,0.255256488,86.75280502,68.52350716,3.20448e-11,0.915761106
1106,3.867640061,1.98199e-06,0.386691339,1.8211e-05,0.258968813,6.89648e-10,7.65e-14,1.560994168,0.045914054,5.40805e-07,32489.86867,1196.13706,0.389282195,94.85591749,63.41151233,5.8524e-10,0.796077593
1107,1.708212444,9.53943e-06,0.375696618,5.09401e-05,0.315334984,6.86661e-10,1.65e-14,0.511136721,0.074573585,1.18315e-06,31532.0079,1049.384407,0.400380037,69.72366235,86.57794061,7.25158e-10,3.809227668
1108,1.948767264,3.49397e-06,0.387269128,0.000206033,0.314040878,4.1545e-10,2.43e-14,2.890674379,0.001875588,6.12532e-07,32047.30225,1091.459174,0.38618589,89.36224099,83.39853883,1.33493e-09,0.983627163
1109,6.435204997,4.48501e-06,0.104274596,0.000220689,0.277981196,3.21611e-10,6.6e-14,1.004051654,0.004507243,5.02386e-07,30085.29333,1142.672592,0.401651532,53.24086193,69.3507995,1.0615e-12,0.829582058
1110,2.032600156,4.25776e-06,0.285159744,5.85163e-05,0.348779033,3.20875e-10,7.31e-14,3.350841943,0.061830316,1.05416e-06,30950.32262,1150.803209,0.30984793,96.64754123,96.20286269,1.96288e-10,0.606908064
1111,5.737807216,6.17399e-06,0.196125374,2.00887e-05,0.393859535,6.06082e-10,9.71e-14,2.764164809,0.093726557,7.75913e-07,32936.31731,1085.59508,0.295936023,89.1313257,98.34988244,1.90264e-12,1.712668931
